Web Search interest: real madrid
Worldwide; 2004 - present

Interest over time
Week,real madrid
2006-09-17 - 2006-09-23,12
2006-09-24 - 2006-09-30,14
2006-10-01 - 2006-10-07,11
2006-10-08 - 2006-10-14,9
2006-10-15 - 2006-10-21,13
2006-10-22 - 2006-10-28,20
2006-10-29 - 2006-11-04,13
2006-11-05 - 2006-11-11,12
2006-11-12 - 2006-11-18,13
2006-11-19 - 2006-11-25,12
2006-11-26 - 2006-12-02,11
2006-12-03 - 2006-12-09,12
2006-12-10 - 2006-12-16,11
2006-12-17 - 2006-12-23,14
2006-12-24 - 2006-12-30,10
2006-12-31 - 2007-01-06,10
2007-01-07 - 2007-01-13,14
2007-01-14 - 2007-01-20,14
2007-01-21 - 2007-01-27,11
2007-01-28 - 2007-02-03,10
2007-02-04 - 2007-02-10,10
2007-02-11 - 2007-02-17,10
2007-02-18 - 2007-02-24,14
2007-02-25 - 2007-03-03,9
2007-03-04 - 2007-03-10,18
2007-03-11 - 2007-03-17,11
2007-03-18 - 2007-03-24,8
2007-03-25 - 2007-03-31,7
2007-04-01 - 2007-04-07,7
2007-04-08 - 2007-04-14,9
2007-04-15 - 2007-04-21,8
2007-04-22 - 2007-04-28,9
2007-04-29 - 2007-05-05,9
2007-05-06 - 2007-05-12,12
2007-05-13 - 2007-05-19,12
2007-05-20 - 2007-05-26,13
2007-05-27 - 2007-06-02,11
2007-06-03 - 2007-06-09,13
2007-06-10 - 2007-06-16,16
2007-06-17 - 2007-06-23,34
2007-06-24 - 2007-06-30,14
2007-07-01 - 2007-07-07,14
2007-07-08 - 2007-07-14,18
2007-07-15 - 2007-07-21,15
2007-07-22 - 2007-07-28,14
2007-07-29 - 2007-08-04,17
2007-08-05 - 2007-08-11,18
2007-08-12 - 2007-08-18,18
2007-08-19 - 2007-08-25,23
2007-08-26 - 2007-09-01,17
2007-09-02 - 2007-09-08,15
2007-09-09 - 2007-09-15,10
2007-09-16 - 2007-09-22,13
2007-09-23 - 2007-09-29,14
2007-09-30 - 2007-10-06,13
2007-10-07 - 2007-10-13,9
2007-10-14 - 2007-10-20,8
2007-10-21 - 2007-10-27,10
2007-10-28 - 2007-11-03,11
2007-11-04 - 2007-11-10,9
2007-11-11 - 2007-11-17,9
2007-11-18 - 2007-11-24,8
2007-11-25 - 2007-12-01,9
2007-12-02 - 2007-12-08,9
2007-12-09 - 2007-12-15,10
2007-12-16 - 2007-12-22,12
2007-12-23 - 2007-12-29,19
2007-12-30 - 2008-01-05,9
2008-01-06 - 2008-01-12,10
2008-01-13 - 2008-01-19,10
2008-01-20 - 2008-01-26,9
2008-01-27 - 2008-02-02,10
2008-02-03 - 2008-02-09,8
2008-02-10 - 2008-02-16,10
2008-02-17 - 2008-02-23,11
2008-02-24 - 2008-03-01,10
2008-03-02 - 2008-03-08,14
2008-03-09 - 2008-03-15,8
2008-03-16 - 2008-03-22,7
2008-03-23 - 2008-03-29,8
2008-03-30 - 2008-04-05,8
2008-04-06 - 2008-04-12,7
2008-04-13 - 2008-04-19,8
2008-04-20 - 2008-04-26,8
2008-04-27 - 2008-05-03,9
2008-05-04 - 2008-05-10,19
2008-05-11 - 2008-05-17,9
2008-05-18 - 2008-05-24,11
2008-05-25 - 2008-05-31,8
2008-06-01 - 2008-06-07,8
2008-06-08 - 2008-06-14,7
2008-06-15 - 2008-06-21,7
2008-06-22 - 2008-06-28,8
2008-06-29 - 2008-07-05,8
2008-07-06 - 2008-07-12,8
2008-07-13 - 2008-07-19,9
2008-07-20 - 2008-07-26,8
2008-07-27 - 2008-08-02,10
2008-08-03 - 2008-08-09,13
2008-08-10 - 2008-08-16,9
2008-08-17 - 2008-08-23,8
2008-08-24 - 2008-08-30,12
2008-08-31 - 2008-09-06,11
2008-09-07 - 2008-09-13,7
2008-09-14 - 2008-09-20,9
2008-09-21 - 2008-09-27,9
2008-09-28 - 2008-10-04,8
2008-10-05 - 2008-10-11,7
2008-10-12 - 2008-10-18,7
2008-10-19 - 2008-10-25,10
2008-10-26 - 2008-11-01,8
2008-11-02 - 2008-11-08,11
2008-11-09 - 2008-11-15,10
2008-11-16 - 2008-11-22,7
2008-11-23 - 2008-11-29,8
2008-11-30 - 2008-12-06,9
2008-12-07 - 2008-12-13,18
2008-12-14 - 2008-12-20,12
2008-12-21 - 2008-12-27,10
2008-12-28 - 2009-01-03,9
2009-01-04 - 2009-01-10,8
2009-01-11 - 2009-01-17,9
2009-01-18 - 2009-01-24,8
2009-01-25 - 2009-01-31,9
2009-02-01 - 2009-02-07,8
2009-02-08 - 2009-02-14,6
2009-02-15 - 2009-02-21,9
2009-02-22 - 2009-02-28,15
2009-03-01 - 2009-03-07,9
2009-03-08 - 2009-03-14,14
2009-03-15 - 2009-03-21,7
2009-03-22 - 2009-03-28,7
2009-03-29 - 2009-04-04,6
2009-04-05 - 2009-04-11,6
2009-04-12 - 2009-04-18,8
2009-04-19 - 2009-04-25,13
2009-04-26 - 2009-05-02,23
2009-05-03 - 2009-05-09,16
2009-05-10 - 2009-05-16,9
2009-05-17 - 2009-05-23,9
2009-05-24 - 2009-05-30,11
2009-05-31 - 2009-06-06,18
2009-06-07 - 2009-06-13,41
2009-06-14 - 2009-06-20,23
2009-06-21 - 2009-06-27,19
2009-06-28 - 2009-07-04,31
2009-07-05 - 2009-07-11,33
2009-07-12 - 2009-07-18,21
2009-07-19 - 2009-07-25,24
2009-07-26 - 2009-08-01,28
2009-08-02 - 2009-08-08,28
2009-08-09 - 2009-08-15,19
2009-08-16 - 2009-08-22,20
2009-08-23 - 2009-08-29,26
2009-08-30 - 2009-09-05,17
2009-09-06 - 2009-09-12,14
2009-09-13 - 2009-09-19,19
2009-09-20 - 2009-09-26,23
2009-09-27 - 2009-10-03,19
2009-10-04 - 2009-10-10,16
2009-10-11 - 2009-10-17,11
2009-10-18 - 2009-10-24,20
2009-10-25 - 2009-10-31,18
2009-11-01 - 2009-11-07,20
2009-11-08 - 2009-11-14,16
2009-11-15 - 2009-11-21,11
2009-11-22 - 2009-11-28,18
2009-11-29 - 2009-12-05,29
2009-12-06 - 2009-12-12,16
2009-12-13 - 2009-12-19,13
2009-12-20 - 2009-12-26,12
2009-12-27 - 2010-01-02,12
2010-01-03 - 2010-01-09,12
2010-01-10 - 2010-01-16,12
2010-01-17 - 2010-01-23,11
2010-01-24 - 2010-01-30,12
2010-01-31 - 2010-02-06,11
2010-02-07 - 2010-02-13,12
2010-02-14 - 2010-02-20,15
2010-02-21 - 2010-02-27,14
2010-02-28 - 2010-03-06,12
2010-03-07 - 2010-03-13,26
2010-03-14 - 2010-03-20,15
2010-03-21 - 2010-03-27,14
2010-03-28 - 2010-04-03,16
2010-04-04 - 2010-04-10,56
2010-04-11 - 2010-04-17,24
2010-04-18 - 2010-04-24,16
2010-04-25 - 2010-05-01,13
2010-05-02 - 2010-05-08,21
2010-05-09 - 2010-05-15,13
2010-05-16 - 2010-05-22,17
2010-05-23 - 2010-05-29,18
2010-05-30 - 2010-06-05,15
2010-06-06 - 2010-06-12,11
2010-06-13 - 2010-06-19,10
2010-06-20 - 2010-06-26,9
2010-06-27 - 2010-07-03,12
2010-07-04 - 2010-07-10,11
2010-07-11 - 2010-07-17,15
2010-07-18 - 2010-07-24,14
2010-07-25 - 2010-07-31,19
2010-08-01 - 2010-08-07,22
2010-08-08 - 2010-08-14,20
2010-08-15 - 2010-08-21,23
2010-08-22 - 2010-08-28,21
2010-08-29 - 2010-09-04,18
2010-09-05 - 2010-09-11,14
2010-09-12 - 2010-09-18,21
2010-09-19 - 2010-09-25,19
2010-09-26 - 2010-10-02,15
2010-10-03 - 2010-10-09,15
2010-10-10 - 2010-10-16,12
2010-10-17 - 2010-10-23,28
2010-10-24 - 2010-10-30,20
2010-10-31 - 2010-11-06,25
2010-11-07 - 2010-11-13,23
2010-11-14 - 2010-11-20,18
2010-11-21 - 2010-11-27,27
2010-11-28 - 2010-12-04,87
2010-12-05 - 2010-12-11,20
2010-12-12 - 2010-12-18,16
2010-12-19 - 2010-12-25,21
2010-12-26 - 2011-01-01,14
2011-01-02 - 2011-01-08,19
2011-01-09 - 2011-01-15,24
2011-01-16 - 2011-01-22,21
2011-01-23 - 2011-01-29,23
2011-01-30 - 2011-02-05,25
2011-02-06 - 2011-02-12,17
2011-02-13 - 2011-02-19,22
2011-02-20 - 2011-02-26,24
2011-02-27 - 2011-03-05,18
2011-03-06 - 2011-03-12,19
2011-03-13 - 2011-03-19,29
2011-03-20 - 2011-03-26,14
2011-03-27 - 2011-04-02,15
2011-04-03 - 2011-04-09,29
2011-04-10 - 2011-04-16,64
2011-04-17 - 2011-04-23,97
2011-04-24 - 2011-04-30,74
2011-05-01 - 2011-05-07,52
2011-05-08 - 2011-05-14,24
2011-05-15 - 2011-05-21,23
2011-05-22 - 2011-05-28,20
2011-05-29 - 2011-06-04,17
2011-06-05 - 2011-06-11,16
2011-06-12 - 2011-06-18,15
2011-06-19 - 2011-06-25,14
2011-06-26 - 2011-07-02,14
2011-07-03 - 2011-07-09,15
2011-07-10 - 2011-07-16,17
2011-07-17 - 2011-07-23,23
2011-07-24 - 2011-07-30,20
2011-07-31 - 2011-08-06,18
2011-08-07 - 2011-08-13,20
2011-08-14 - 2011-08-20,80
2011-08-21 - 2011-08-27,28
2011-08-28 - 2011-09-03,21
2011-09-04 - 2011-09-10,16
2011-09-11 - 2011-09-17,22
2011-09-18 - 2011-09-24,24
2011-09-25 - 2011-10-01,20
2011-10-02 - 2011-10-08,16
2011-10-09 - 2011-10-15,14
2011-10-16 - 2011-10-22,22
2011-10-23 - 2011-10-29,21
2011-10-30 - 2011-11-05,21
2011-11-06 - 2011-11-12,18
2011-11-13 - 2011-11-19,15
2011-11-20 - 2011-11-26,25
2011-11-27 - 2011-12-03,20
2011-12-04 - 2011-12-10,58
2011-12-11 - 2011-12-17,33
2011-12-18 - 2011-12-24,19
2011-12-25 - 2011-12-31,14
2012-01-01 - 2012-01-07,19
2012-01-08 - 2012-01-14,21
2012-01-15 - 2012-01-21,72
2012-01-22 - 2012-01-28,67
2012-01-29 - 2012-02-04,18
2012-02-05 - 2012-02-11,15
2012-02-12 - 2012-02-18,24
2012-02-19 - 2012-02-25,23
2012-02-26 - 2012-03-03,18
2012-03-04 - 2012-03-10,23
2012-03-11 - 2012-03-17,25
2012-03-18 - 2012-03-24,31
2012-03-25 - 2012-03-31,27
2012-04-01 - 2012-04-07,28
2012-04-08 - 2012-04-14,47
2012-04-15 - 2012-04-21,100
2012-04-22 - 2012-04-28,92
2012-04-29 - 2012-05-05,34
2012-05-06 - 2012-05-12,17
2012-05-13 - 2012-05-19,20
2012-05-20 - 2012-05-26,15
2012-05-27 - 2012-06-02,14
2012-06-03 - 2012-06-09,13
2012-06-10 - 2012-06-16,11
2012-06-17 - 2012-06-23,11
2012-06-24 - 2012-06-30,11
2012-07-01 - 2012-07-07,12
2012-07-08 - 2012-07-14,13
2012-07-15 - 2012-07-21,14
2012-07-22 - 2012-07-28,16
2012-07-29 - 2012-08-04,15
2012-08-05 - 2012-08-11,20
2012-08-12 - 2012-08-18,15
2012-08-19 - 2012-08-25,51
2012-08-26 - 2012-09-01,58
2012-09-02 - 2012-09-08,21
2012-09-09 - 2012-09-15,16
2012-09-16 - 2012-09-22,34
2012-09-23 - 2012-09-29,28
2012-09-30 - 2012-10-06,30
2012-10-07 - 2012-10-13,43
2012-10-14 - 2012-10-20,13
2012-10-21 - 2012-10-27,21
2012-10-28 - 2012-11-03,20
2012-11-04 - 2012-11-10,21
2012-11-11 - 2012-11-17,16
2012-11-18 - 2012-11-24,22
2012-11-25 - 2012-12-01,20
2012-12-02 - 2012-12-08,19
2012-12-09 - 2012-12-15,15
2012-12-16 - 2012-12-22,19
2012-12-23 - 2012-12-29,15
2012-12-30 - 2013-01-05,12
2013-01-06 - 2013-01-12,20
2013-01-13 - 2013-01-19,16
2013-01-20 - 2013-01-26,20
2013-01-27 - 2013-02-02,52
2013-02-03 - 2013-02-09,17
2013-02-10 - 2013-02-16,52
2013-02-17 - 2013-02-23,18
2013-02-24 - 2013-03-02,70
2013-03-03 - 2013-03-09,59
2013-03-10 - 2013-03-16,23
2013-03-17 - 2013-03-23,15
2013-03-24 - 2013-03-30,14
2013-03-31 - 2013-04-06,55
2013-04-07 - 2013-04-13,40
2013-04-14 - 2013-04-20,19
2013-04-21 - 2013-04-27,58
2013-04-28 - 2013-05-04,60
2013-05-05 - 2013-05-11,20
2013-05-12 - 2013-05-18,29
2013-05-19 - 2013-05-25,18
2013-05-26 - 2013-06-01,22
2013-06-02 - 2013-06-08,19
2013-06-09 - 2013-06-15,15
2013-06-16 - 2013-06-22,14
2013-06-23 - 2013-06-29,16
2013-06-30 - 2013-07-06,16
2013-07-07 - 2013-07-13,16
2013-07-14 - 2013-07-20,17
2013-07-21 - 2013-07-27,27
2013-07-28 - 2013-08-03,24
2013-08-04 - 2013-08-10,36
2013-08-11 - 2013-08-17,17
2013-08-18 - 2013-08-24,31
2013-08-25 - 2013-08-31,29
2013-09-01 - 2013-09-07,34
2013-09-08 - 2013-09-14,21
2013-09-15 - 2013-09-21,36
2013-09-22 - 2013-09-28,28
2013-09-29 - 2013-10-05,23
2013-10-06 - 2013-10-12,14
2013-10-13 - 2013-10-19,15
2013-10-20 - 2013-10-26,51
2013-10-27 - 2013-11-02,31
2013-11-03 - 2013-11-09,28
2013-11-10 - 2013-11-16,13
2013-11-17 - 2013-11-23,14
2013-11-24 - 2013-11-30,31
2013-12-01 - 2013-12-07,16
2013-12-08 - 2013-12-14,18
2013-12-15 - 2013-12-21,16
2013-12-22 - 2013-12-28,16
2013-12-29 - 2014-01-04,19
2014-01-05 - 2014-01-11,19
2014-01-12 - 2014-01-18,20
2014-01-19 - 2014-01-25,18
2014-01-26 - 2014-02-01,17
2014-02-02 - 2014-02-08,31
2014-02-09 - 2014-02-15,21
2014-02-16 - 2014-02-22,20
2014-02-23 - 2014-03-01,30
2014-03-02 - 2014-03-08,22
2014-03-09 - 2014-03-15,22
2014-03-16 - 2014-03-22,28
2014-03-23 - 2014-03-29,81
2014-03-30 - 2014-04-05,34
2014-04-06 - 2014-04-12,37
2014-04-13 - 2014-04-19,60
2014-04-20 - 2014-04-26,60
2014-04-27 - 2014-05-03,67
2014-05-04 - 2014-05-10,36
2014-05-11 - 2014-05-17,24
2014-05-18 - 2014-05-24,59
2014-05-25 - 2014-05-31,48
2014-06-01 - 2014-06-07,22
2014-06-08 - 2014-06-14,16
2014-06-15 - 2014-06-21,14
2014-06-22 - 2014-06-28,13
2014-06-29 - 2014-07-05,17
2014-07-06 - 2014-07-12,20
2014-07-13 - 2014-07-19,31
2014-07-20 - 2014-07-26,50
2014-07-27 - 2014-08-02,41
2014-08-03 - 2014-08-09,31
2014-08-10 - 2014-08-16,44
2014-08-17 - 2014-08-23,55
2014-08-24 - 2014-08-30,37
2014-08-31 - 2014-09-06,36
2014-09-07 - 2014-09-13,29
2014-09-14 - 2014-09-20,37
2014-09-21 - 2014-09-27,35
2014-09-28 - 2014-10-04,28
2014-10-05 - 2014-10-11,23
2014-10-12 - 2014-10-18,20
2014-10-19 - 2014-10-25,87
2014-10-26 - 2014-11-01,38
2014-11-02 - 2014-11-08,37
2014-11-09 - 2014-11-15,19
2014-11-16 - 2014-11-22,19
2014-11-23 - 2014-11-29,30
2014-11-30 - 2014-12-06,27
2014-12-07 - 2014-12-13,29
2014-12-14 - 2014-12-20,40
2014-12-21 - 2014-12-27,24
2014-12-28 - 2015-01-03,29
2015-01-04 - 2015-01-10,43
2015-01-11 - 2015-01-17,39
2015-01-18 - 2015-01-24,27
2015-01-25 - 2015-01-31,24
2015-02-01 - 2015-02-07,37
2015-02-08 - 2015-02-14,25
2015-02-15 - 2015-02-21,30
2015-02-22 - 2015-02-28,24
2015-03-01 - 2015-03-07,27
2015-03-08 - 2015-03-14,34
2015-03-15 - 2015-03-21,33
2015-03-22 - 2015-03-28,92
2015-03-29 - 2015-04-04,17
2015-04-05 - 2015-04-11,40
2015-04-12 - 2015-04-18,45
2015-04-19 - 2015-04-25,61
2015-04-26 - 2015-05-02,50
2015-05-03 - 2015-05-09,73
2015-05-10 - 2015-05-16,85
2015-05-17 - 2015-05-23,33
2015-05-24 - 2015-05-30,26
2015-05-31 - 2015-06-06,22
2015-06-07 - 2015-06-13,20
2015-06-14 - 2015-06-20,19
2015-06-21 - 2015-06-27,17
2015-06-28 - 2015-07-04,17
2015-07-05 - 2015-07-11,21
2015-07-12 - 2015-07-18,27
2015-07-19 - 2015-07-25,26
2015-07-26 - 2015-08-01,26
2015-08-02 - 2015-08-08,27
2015-08-09 - 2015-08-15,19
2015-08-16 - 2015-08-22,34
2015-08-23 - 2015-08-29,29
2015-08-30 - 2015-09-05,23
2015-09-06 - 2015-09-12,21
2015-09-13 - 2015-09-19,30
2015-09-20 - 2015-09-26,28
2015-09-27 - 2015-10-03,28
2015-10-04 - 2015-10-10,27
2015-10-11 - 2015-10-17,17
2015-10-18 - 2015-10-24,38
2015-10-25 - 2015-10-31,21
2015-11-01 - 2015-11-07,31
2015-11-08 - 2015-11-14,22
2015-11-15 - 2015-11-21,69
2015-11-22 - 2015-11-28,43
2015-11-29 - 2015-12-05,34
2015-12-06 - 2015-12-12,31


Top regions for real madrid
Region,real madrid
Guinea,100
Congo (DRC),50
Haiti,42
Mali,38
Nicaragua,23
Guatemala,22
El Salvador,22
Senegal,21
Honduras,18
Mozambique,18
Angola,18
Panama,16
Spain,14
Ghana,12
Colombia,12
Morocco,12
Nigeria,11
Costa Rica,10
Algeria,10
Venezuela,8
Armenia,8
Indonesia,7
Peru,7
Lebanon,7
Bolivia,6
Macedonia (FYROM),6
Kenya,6
Tunisia,6
Ecuador,5
Paraguay,5
Azerbaijan,5
Mexico,5
Bosnia & Herzegovina,4
Bangladesh,4
Uruguay,4
Chile,4
Portugal,3
Turkey,3
Argentina,3
Croatia,3
United Arab Emirates,2
Jordan,2
Malaysia,2
Hungary,2
Slovenia,2
South Africa,2
Denmark,2
Pakistan,2
Belgium,2
Serbia,2
Iraq,2
Norway,2
Switzerland,2
Romania,2
Italy,2
Bulgaria,2
France,2
Slovakia,2
Ireland,2
United Kingdom,2
Sweden,2
Netherlands,2
Brazil,2
Austria,2
India,1
Singapore,1
Greece,1
Israel,1
Germany,1
Egypt,1
Vietnam,1
United States,1
Czech Republic,1
Canada,1
Saudi Arabia,1
Australia,1
Iran,1
Finland,1


Top cities for real madrid
City,real madrid
Guatemala City (Guatemala),100
San Salvador (El Salvador),97
Madrid (Spain),75
Panama (Panama),72
Cali (Colombia),56
Rabat (Morocco),54
Lagos (Nigeria),47
Seville (Spain),46
Barcelona (Spain),46
Casablanca (Morocco),45
Bogotá (Colombia),43
San Jose (Costa Rica),43
Medellín (Colombia),39
Valencia (Spain),38
Medan (Indonesia),37



Top searches for real madrid
real madrid vs,100
real madrid barcelona,85
barcelona,85
real de madrid,70
atletico madrid,20
partido real madrid,20
fc real madrid,20
real madrid 2014,15
ronaldo,15
ronaldo real madrid,15
real madrid 2015,15
real madrid tv,15
real madrid bayern,10
real madrid marca,10
manchester united,10
real madrid juventus,10
juventus,10
barcelona fc,10
cristiano ronaldo,10
real madrid hoy,10
chelsea,10
real madrid news,10
atletico de madrid,10
galatasaray real madrid,10
galatasaray,10
barca,5
barca real madrid,5
champions league,5
messi,5
soccer real madrid,5
copa del rey,5
resultado real madrid,5
la liga,5
bayern munich,5
arsenal,5
real madrid club,5
real madrid sevilla,5
psg real madrid,5
fichajes real madrid,5
fichajes,5
bale real madrid,5
real madrid cf,5
real madrid valencia,5
manchester city,5
noticias real madrid,5
entradas real madrid,5
ac milan,5
uefa,5
borussia dortmund,5



Rising searches for real madrid
real madrid 2014,Breakout
real madrid 2015,Breakout
real madrid vs,+1,750%
atletico madrid,+300%
partido real madrid,+250%
real madrid tv,+200%
real madrid barcelona,+160%
barcelona,+150%
real madrid bayern,+90%
real madrid juventus,+80%



