Web Search interest: finger
Worldwide; 2004 - present

Interest over time
Week,finger
2011-12-18 - 2011-12-24,68
2011-12-25 - 2011-12-31,71
2012-01-01 - 2012-01-07,67
2012-01-08 - 2012-01-14,66
2012-01-15 - 2012-01-21,69
2012-01-22 - 2012-01-28,71
2012-01-29 - 2012-02-04,75
2012-02-05 - 2012-02-11,100
2012-02-12 - 2012-02-18,72
2012-02-19 - 2012-02-25,73
2012-02-26 - 2012-03-03,68
2012-03-04 - 2012-03-10,68
2012-03-11 - 2012-03-17,67
2012-03-18 - 2012-03-24,67
2012-03-25 - 2012-03-31,66
2012-04-01 - 2012-04-07,68
2012-04-08 - 2012-04-14,67
2012-04-15 - 2012-04-21,67
2012-04-22 - 2012-04-28,69
2012-04-29 - 2012-05-05,69
2012-05-06 - 2012-05-12,66
2012-05-13 - 2012-05-19,68
2012-05-20 - 2012-05-26,68
2012-05-27 - 2012-06-02,66
2012-06-03 - 2012-06-09,66
2012-06-10 - 2012-06-16,66
2012-06-17 - 2012-06-23,67
2012-06-24 - 2012-06-30,69
2012-07-01 - 2012-07-07,69
2012-07-08 - 2012-07-14,70
2012-07-15 - 2012-07-21,70
2012-07-22 - 2012-07-28,69
2012-07-29 - 2012-08-04,71
2012-08-05 - 2012-08-11,71
2012-08-12 - 2012-08-18,71
2012-08-19 - 2012-08-25,73
2012-08-26 - 2012-09-01,70
2012-09-02 - 2012-09-08,68
2012-09-09 - 2012-09-15,70
2012-09-16 - 2012-09-22,71
2012-09-23 - 2012-09-29,70
2012-09-30 - 2012-10-06,68
2012-10-07 - 2012-10-13,66
2012-10-14 - 2012-10-20,67
2012-10-21 - 2012-10-27,69
2012-10-28 - 2012-11-03,65
2012-11-04 - 2012-11-10,65
2012-11-11 - 2012-11-17,66
2012-11-18 - 2012-11-24,66
2012-11-25 - 2012-12-01,68
2012-12-02 - 2012-12-08,69
2012-12-09 - 2012-12-15,70
2012-12-16 - 2012-12-22,68
2012-12-23 - 2012-12-29,69
2012-12-30 - 2013-01-05,73
2013-01-06 - 2013-01-12,67
2013-01-13 - 2013-01-19,66
2013-01-20 - 2013-01-26,67
2013-01-27 - 2013-02-02,69
2013-02-03 - 2013-02-09,69
2013-02-10 - 2013-02-16,69
2013-02-17 - 2013-02-23,69
2013-02-24 - 2013-03-02,71
2013-03-03 - 2013-03-09,68
2013-03-10 - 2013-03-16,68
2013-03-17 - 2013-03-23,69
2013-03-24 - 2013-03-30,71
2013-03-31 - 2013-04-06,73
2013-04-07 - 2013-04-13,70
2013-04-14 - 2013-04-20,69
2013-04-21 - 2013-04-27,70
2013-04-28 - 2013-05-04,72
2013-05-05 - 2013-05-11,73
2013-05-12 - 2013-05-18,71
2013-05-19 - 2013-05-25,71
2013-05-26 - 2013-06-01,68
2013-06-02 - 2013-06-08,69
2013-06-09 - 2013-06-15,70
2013-06-16 - 2013-06-22,71
2013-06-23 - 2013-06-29,70
2013-06-30 - 2013-07-06,69
2013-07-07 - 2013-07-13,71
2013-07-14 - 2013-07-20,72
2013-07-21 - 2013-07-27,74
2013-07-28 - 2013-08-03,77
2013-08-04 - 2013-08-10,75
2013-08-11 - 2013-08-17,74
2013-08-18 - 2013-08-24,73
2013-08-25 - 2013-08-31,73
2013-09-01 - 2013-09-07,71
2013-09-08 - 2013-09-14,74
2013-09-15 - 2013-09-21,74
2013-09-22 - 2013-09-28,84
2013-09-29 - 2013-10-05,74
2013-10-06 - 2013-10-12,73
2013-10-13 - 2013-10-19,74
2013-10-20 - 2013-10-26,73
2013-10-27 - 2013-11-02,73
2013-11-03 - 2013-11-09,72
2013-11-10 - 2013-11-16,73
2013-11-17 - 2013-11-23,76
2013-11-24 - 2013-11-30,75
2013-12-01 - 2013-12-07,75
2013-12-08 - 2013-12-14,78
2013-12-15 - 2013-12-21,79
2013-12-22 - 2013-12-28,76
2013-12-29 - 2014-01-04,78
2014-01-05 - 2014-01-11,75
2014-01-12 - 2014-01-18,74
2014-01-19 - 2014-01-25,74
2014-01-26 - 2014-02-01,75
2014-02-02 - 2014-02-08,75
2014-02-09 - 2014-02-15,73
2014-02-16 - 2014-02-22,75
2014-02-23 - 2014-03-01,73
2014-03-02 - 2014-03-08,82
2014-03-09 - 2014-03-15,78
2014-03-16 - 2014-03-22,74
2014-03-23 - 2014-03-29,76
2014-03-30 - 2014-04-05,74
2014-04-06 - 2014-04-12,77
2014-04-13 - 2014-04-19,79
2014-04-20 - 2014-04-26,77
2014-04-27 - 2014-05-03,78
2014-05-04 - 2014-05-10,80
2014-05-11 - 2014-05-17,76
2014-05-18 - 2014-05-24,77
2014-05-25 - 2014-05-31,74
2014-06-01 - 2014-06-07,76
2014-06-08 - 2014-06-14,75
2014-06-15 - 2014-06-21,79
2014-06-22 - 2014-06-28,80
2014-06-29 - 2014-07-05,79
2014-07-06 - 2014-07-12,80
2014-07-13 - 2014-07-19,80
2014-07-20 - 2014-07-26,80
2014-07-27 - 2014-08-02,79
2014-08-03 - 2014-08-09,80
2014-08-10 - 2014-08-16,77
2014-08-17 - 2014-08-23,82
2014-08-24 - 2014-08-30,76
2014-08-31 - 2014-09-06,77
2014-09-07 - 2014-09-13,76
2014-09-14 - 2014-09-20,78
2014-09-21 - 2014-09-27,76
2014-09-28 - 2014-10-04,78
2014-10-05 - 2014-10-11,76
2014-10-12 - 2014-10-18,76
2014-10-19 - 2014-10-25,77
2014-10-26 - 2014-11-01,79
2014-11-02 - 2014-11-08,79
2014-11-09 - 2014-11-15,79
2014-11-16 - 2014-11-22,82
2014-11-23 - 2014-11-29,79
2014-11-30 - 2014-12-06,80
2014-12-07 - 2014-12-13,80
2014-12-14 - 2014-12-20,79
2014-12-21 - 2014-12-27,81
2014-12-28 - 2015-01-03,84
2015-01-04 - 2015-01-10,78
2015-01-11 - 2015-01-17,80
2015-01-18 - 2015-01-24,80
2015-01-25 - 2015-01-31,79
2015-02-01 - 2015-02-07,79
2015-02-08 - 2015-02-14,79
2015-02-15 - 2015-02-21,80
2015-02-22 - 2015-02-28,82
2015-03-01 - 2015-03-07,80
2015-03-08 - 2015-03-14,82
2015-03-15 - 2015-03-21,82
2015-03-22 - 2015-03-28,78
2015-03-29 - 2015-04-04,80
2015-04-05 - 2015-04-11,80
2015-04-12 - 2015-04-18,80
2015-04-19 - 2015-04-25,83
2015-04-26 - 2015-05-02,83
2015-05-03 - 2015-05-09,83
2015-05-10 - 2015-05-16,82
2015-05-17 - 2015-05-23,81
2015-05-24 - 2015-05-30,79
2015-05-31 - 2015-06-06,82
2015-06-07 - 2015-06-13,85
2015-06-14 - 2015-06-20,86
2015-06-21 - 2015-06-27,87
2015-06-28 - 2015-07-04,86
2015-07-05 - 2015-07-11,93
2015-07-12 - 2015-07-18,100
2015-07-19 - 2015-07-25,90
2015-07-26 - 2015-08-01,90
2015-08-02 - 2015-08-08,88
2015-08-09 - 2015-08-15,86
2015-08-16 - 2015-08-22,87
2015-08-23 - 2015-08-29,87
2015-08-30 - 2015-09-05,88
2015-09-06 - 2015-09-12,91
2015-09-13 - 2015-09-19,92
2015-09-20 - 2015-09-26,96
2015-09-27 - 2015-10-03,88
2015-10-04 - 2015-10-10,87
2015-10-11 - 2015-10-17,87
2015-10-18 - 2015-10-24,92
2015-10-25 - 2015-10-31,91
2015-11-01 - 2015-11-07,86
2015-11-08 - 2015-11-14,85
2015-11-15 - 2015-11-21,84
2015-11-22 - 2015-11-28,86
2015-11-29 - 2015-12-05,84
2015-12-06 - 2015-12-12,88


Top regions for finger
Region,finger
United States,100
Australia,94
Singapore,88
New Zealand,84
Philippines,80
Canada,79
South Africa,78
United Kingdom,76
Kenya,75
Ireland,69
Germany,60
Austria,60
Nigeria,56
United Arab Emirates,52
Pakistan,49
India,47
Denmark,46
Norway,45
Malaysia,44
Switzerland,43
Hong Kong,42
Sweden,34
Finland,26
Greece,22
South Korea,22
Croatia,21
Bulgaria,21
Netherlands,20
Indonesia,20
Czech Republic,18
Israel,18
Italy,16
Portugal,15
Belgium,15
Hungary,15
Romania,14
Saudi Arabia,14
Egypt,13
Vietnam,13
Thailand,13
Iran,13
Taiwan,13
Chile,11
Turkey,11
France,10
Mexico,9
Spain,9
Brazil,9
Poland,9
Argentina,9
Russia,7
Ukraine,7
Colombia,6
China,5
Japan,4


Top cities for finger
City,finger
Philadelphia (United States),100
Melbourne (Australia),99
Sydney (Australia),96
Houston (United States),91
New York (United States),90
Dallas (United States),89
Chicago (United States),89
Atlanta (United States),87
Washington (United States),84
Singapore (Singapore),83
Los Angeles (United States),83
San Francisco (United States),81
Seattle (United States),81
Toronto (Canada),77
Dublin (Ireland),64



Top searches for finger
the finger,100
how to finger,70
middle finger,70
five finger,55
ring finger,45
finger lakes,30
finger food,25
finger print,20
index finger,20
trigger finger,20
finger foods,15
finger pain,15
little finger,10
finger tattoo,10
baby finger,10
family finger,10
finger nails,10
finger monkey,10
broken finger,10
finger tattoos,10
wedding finger,10
finger tips,10
finger eleven,10
finger song,10
fingering,10
pinky finger,10
emoji middle finger,5
swollen finger,5
finger lakes ny,5
lady finger,5
finger shoes,5
wedding ring finger,5
gold finger,5
finger paint,5
finger prints,5
pointing finger,5
middle finger text,5
finger food recipes,5
finger joints,5
finger painting,5
finger art,5
engagement finger,5
mallet finger,5
finger printing,5
five finger shoes,5
jammed finger,5
finger puppets,5
finger infection,5
finger food ideas,5
finger waves,5



Rising searches for finger
finger tattoo,+1,200%
family finger,+500%
five finger,+450%
finger monkey,+170%
baby finger,+90%
ring finger,+80%
finger pain,+70%
index finger,+60%
how to finger,+50%
little finger,+40%



