Web Search interest: dog
Worldwide; 2004 - present

Interest over time
Week,dog
2007-06-03 - 2007-06-09,68
2007-06-10 - 2007-06-16,66
2007-06-17 - 2007-06-23,68
2007-06-24 - 2007-06-30,72
2007-07-01 - 2007-07-07,71
2007-07-08 - 2007-07-14,73
2007-07-15 - 2007-07-21,78
2007-07-22 - 2007-07-28,75
2007-07-29 - 2007-08-04,73
2007-08-05 - 2007-08-11,74
2007-08-12 - 2007-08-18,76
2007-08-19 - 2007-08-25,73
2007-08-26 - 2007-09-01,70
2007-09-02 - 2007-09-08,66
2007-09-09 - 2007-09-15,66
2007-09-16 - 2007-09-22,65
2007-09-23 - 2007-09-29,65
2007-09-30 - 2007-10-06,65
2007-10-07 - 2007-10-13,66
2007-10-14 - 2007-10-20,69
2007-10-21 - 2007-10-27,65
2007-10-28 - 2007-11-03,75
2007-11-04 - 2007-11-10,72
2007-11-11 - 2007-11-17,66
2007-11-18 - 2007-11-24,70
2007-11-25 - 2007-12-01,73
2007-12-02 - 2007-12-08,73
2007-12-09 - 2007-12-15,68
2007-12-16 - 2007-12-22,68
2007-12-23 - 2007-12-29,70
2007-12-30 - 2008-01-05,75
2008-01-06 - 2008-01-12,69
2008-01-13 - 2008-01-19,69
2008-01-20 - 2008-01-26,69
2008-01-27 - 2008-02-02,68
2008-02-03 - 2008-02-09,70
2008-02-10 - 2008-02-16,80
2008-02-17 - 2008-02-23,69
2008-02-24 - 2008-03-01,68
2008-03-02 - 2008-03-08,68
2008-03-09 - 2008-03-15,69
2008-03-16 - 2008-03-22,69
2008-03-23 - 2008-03-29,69
2008-03-30 - 2008-04-05,69
2008-04-06 - 2008-04-12,69
2008-04-13 - 2008-04-19,68
2008-04-20 - 2008-04-26,67
2008-04-27 - 2008-05-03,70
2008-05-04 - 2008-05-10,67
2008-05-11 - 2008-05-17,67
2008-05-18 - 2008-05-24,67
2008-05-25 - 2008-05-31,64
2008-06-01 - 2008-06-07,65
2008-06-08 - 2008-06-14,65
2008-06-15 - 2008-06-21,67
2008-06-22 - 2008-06-28,70
2008-06-29 - 2008-07-05,70
2008-07-06 - 2008-07-12,72
2008-07-13 - 2008-07-19,72
2008-07-20 - 2008-07-26,73
2008-07-27 - 2008-08-02,71
2008-08-03 - 2008-08-09,72
2008-08-10 - 2008-08-16,72
2008-08-17 - 2008-08-23,69
2008-08-24 - 2008-08-30,69
2008-08-31 - 2008-09-06,66
2008-09-07 - 2008-09-13,67
2008-09-14 - 2008-09-20,67
2008-09-21 - 2008-09-27,66
2008-09-28 - 2008-10-04,67
2008-10-05 - 2008-10-11,66
2008-10-12 - 2008-10-18,66
2008-10-19 - 2008-10-25,67
2008-10-26 - 2008-11-01,65
2008-11-02 - 2008-11-08,66
2008-11-09 - 2008-11-15,72
2008-11-16 - 2008-11-22,68
2008-11-23 - 2008-11-29,67
2008-11-30 - 2008-12-06,68
2008-12-07 - 2008-12-13,70
2008-12-14 - 2008-12-20,70
2008-12-21 - 2008-12-27,70
2008-12-28 - 2009-01-03,79
2009-01-04 - 2009-01-10,72
2009-01-11 - 2009-01-17,75
2009-01-18 - 2009-01-24,72
2009-01-25 - 2009-01-31,71
2009-02-01 - 2009-02-07,69
2009-02-08 - 2009-02-14,78
2009-02-15 - 2009-02-21,70
2009-02-22 - 2009-02-28,77
2009-03-01 - 2009-03-07,70
2009-03-08 - 2009-03-14,70
2009-03-15 - 2009-03-21,69
2009-03-22 - 2009-03-28,69
2009-03-29 - 2009-04-04,69
2009-04-05 - 2009-04-11,72
2009-04-12 - 2009-04-18,83
2009-04-19 - 2009-04-25,70
2009-04-26 - 2009-05-02,69
2009-05-03 - 2009-05-09,67
2009-05-10 - 2009-05-16,66
2009-05-17 - 2009-05-23,68
2009-05-24 - 2009-05-30,66
2009-05-31 - 2009-06-06,66
2009-06-07 - 2009-06-13,66
2009-06-14 - 2009-06-20,67
2009-06-21 - 2009-06-27,66
2009-06-28 - 2009-07-04,68
2009-07-05 - 2009-07-11,69
2009-07-12 - 2009-07-18,70
2009-07-19 - 2009-07-25,73
2009-07-26 - 2009-08-01,72
2009-08-02 - 2009-08-08,72
2009-08-09 - 2009-08-15,73
2009-08-16 - 2009-08-22,72
2009-08-23 - 2009-08-29,69
2009-08-30 - 2009-09-05,67
2009-09-06 - 2009-09-12,66
2009-09-13 - 2009-09-19,66
2009-09-20 - 2009-09-26,66
2009-09-27 - 2009-10-03,65
2009-10-04 - 2009-10-10,66
2009-10-11 - 2009-10-17,67
2009-10-18 - 2009-10-24,66
2009-10-25 - 2009-10-31,65
2009-11-01 - 2009-11-07,64
2009-11-08 - 2009-11-14,65
2009-11-15 - 2009-11-21,65
2009-11-22 - 2009-11-28,65
2009-11-29 - 2009-12-05,68
2009-12-06 - 2009-12-12,67
2009-12-13 - 2009-12-19,65
2009-12-20 - 2009-12-26,66
2009-12-27 - 2010-01-02,71
2010-01-03 - 2010-01-09,68
2010-01-10 - 2010-01-16,67
2010-01-17 - 2010-01-23,65
2010-01-24 - 2010-01-30,66
2010-01-31 - 2010-02-06,65
2010-02-07 - 2010-02-13,65
2010-02-14 - 2010-02-20,70
2010-02-21 - 2010-02-27,65
2010-02-28 - 2010-03-06,64
2010-03-07 - 2010-03-13,65
2010-03-14 - 2010-03-20,63
2010-03-21 - 2010-03-27,64
2010-03-28 - 2010-04-03,66
2010-04-04 - 2010-04-10,65
2010-04-11 - 2010-04-17,64
2010-04-18 - 2010-04-24,65
2010-04-25 - 2010-05-01,65
2010-05-02 - 2010-05-08,64
2010-05-09 - 2010-05-15,65
2010-05-16 - 2010-05-22,64
2010-05-23 - 2010-05-29,63
2010-05-30 - 2010-06-05,64
2010-06-06 - 2010-06-12,63
2010-06-13 - 2010-06-19,63
2010-06-20 - 2010-06-26,64
2010-06-27 - 2010-07-03,66
2010-07-04 - 2010-07-10,72
2010-07-11 - 2010-07-17,71
2010-07-18 - 2010-07-24,71
2010-07-25 - 2010-07-31,70
2010-08-01 - 2010-08-07,73
2010-08-08 - 2010-08-14,70
2010-08-15 - 2010-08-21,71
2010-08-22 - 2010-08-28,68
2010-08-29 - 2010-09-04,68
2010-09-05 - 2010-09-11,69
2010-09-12 - 2010-09-18,67
2010-09-19 - 2010-09-25,68
2010-09-26 - 2010-10-02,66
2010-10-03 - 2010-10-09,66
2010-10-10 - 2010-10-16,64
2010-10-17 - 2010-10-23,66
2010-10-24 - 2010-10-30,65
2010-10-31 - 2010-11-06,69
2010-11-07 - 2010-11-13,67
2010-11-14 - 2010-11-20,68
2010-11-21 - 2010-11-27,67
2010-11-28 - 2010-12-04,70
2010-12-05 - 2010-12-11,69
2010-12-12 - 2010-12-18,67
2010-12-19 - 2010-12-25,68
2010-12-26 - 2011-01-01,72
2011-01-02 - 2011-01-08,70
2011-01-09 - 2011-01-15,67
2011-01-16 - 2011-01-22,67
2011-01-23 - 2011-01-29,67
2011-01-30 - 2011-02-05,67
2011-02-06 - 2011-02-12,67
2011-02-13 - 2011-02-19,72
2011-02-20 - 2011-02-26,65
2011-02-27 - 2011-03-05,64
2011-03-06 - 2011-03-12,65
2011-03-13 - 2011-03-19,75
2011-03-20 - 2011-03-26,70
2011-03-27 - 2011-04-02,69
2011-04-03 - 2011-04-09,69
2011-04-10 - 2011-04-16,68
2011-04-17 - 2011-04-23,70
2011-04-24 - 2011-04-30,68
2011-05-01 - 2011-05-07,67
2011-05-08 - 2011-05-14,70
2011-05-15 - 2011-05-21,70
2011-05-22 - 2011-05-28,69
2011-05-29 - 2011-06-04,69
2011-06-05 - 2011-06-11,69
2011-06-12 - 2011-06-18,70
2011-06-19 - 2011-06-25,72
2011-06-26 - 2011-07-02,72
2011-07-03 - 2011-07-09,73
2011-07-10 - 2011-07-16,72
2011-07-17 - 2011-07-23,72
2011-07-24 - 2011-07-30,72
2011-07-31 - 2011-08-06,73
2011-08-07 - 2011-08-13,71
2011-08-14 - 2011-08-20,73
2011-08-21 - 2011-08-27,72
2011-08-28 - 2011-09-03,69
2011-09-04 - 2011-09-10,70
2011-09-11 - 2011-09-17,67
2011-09-18 - 2011-09-24,67
2011-09-25 - 2011-10-01,68
2011-10-02 - 2011-10-08,68
2011-10-09 - 2011-10-15,69
2011-10-16 - 2011-10-22,68
2011-10-23 - 2011-10-29,70
2011-10-30 - 2011-11-05,70
2011-11-06 - 2011-11-12,70
2011-11-13 - 2011-11-19,70
2011-11-20 - 2011-11-26,72
2011-11-27 - 2011-12-03,71
2011-12-04 - 2011-12-10,71
2011-12-11 - 2011-12-17,70
2011-12-18 - 2011-12-24,74
2011-12-25 - 2011-12-31,77
2012-01-01 - 2012-01-07,77
2012-01-08 - 2012-01-14,74
2012-01-15 - 2012-01-21,73
2012-01-22 - 2012-01-28,75
2012-01-29 - 2012-02-04,74
2012-02-05 - 2012-02-11,77
2012-02-12 - 2012-02-18,82
2012-02-19 - 2012-02-25,74
2012-02-26 - 2012-03-03,71
2012-03-04 - 2012-03-10,70
2012-03-11 - 2012-03-17,70
2012-03-18 - 2012-03-24,71
2012-03-25 - 2012-03-31,71
2012-04-01 - 2012-04-07,71
2012-04-08 - 2012-04-14,72
2012-04-15 - 2012-04-21,75
2012-04-22 - 2012-04-28,73
2012-04-29 - 2012-05-05,74
2012-05-06 - 2012-05-12,74
2012-05-13 - 2012-05-19,71
2012-05-20 - 2012-05-26,72
2012-05-27 - 2012-06-02,72
2012-06-03 - 2012-06-09,72
2012-06-10 - 2012-06-16,73
2012-06-17 - 2012-06-23,75
2012-06-24 - 2012-06-30,75
2012-07-01 - 2012-07-07,78
2012-07-08 - 2012-07-14,79
2012-07-15 - 2012-07-21,78
2012-07-22 - 2012-07-28,77
2012-07-29 - 2012-08-04,77
2012-08-05 - 2012-08-11,78
2012-08-12 - 2012-08-18,82
2012-08-19 - 2012-08-25,82
2012-08-26 - 2012-09-01,76
2012-09-02 - 2012-09-08,76
2012-09-09 - 2012-09-15,76
2012-09-16 - 2012-09-22,75
2012-09-23 - 2012-09-29,74
2012-09-30 - 2012-10-06,73
2012-10-07 - 2012-10-13,73
2012-10-14 - 2012-10-20,73
2012-10-21 - 2012-10-27,73
2012-10-28 - 2012-11-03,71
2012-11-04 - 2012-11-10,73
2012-11-11 - 2012-11-17,74
2012-11-18 - 2012-11-24,75
2012-11-25 - 2012-12-01,73
2012-12-02 - 2012-12-08,76
2012-12-09 - 2012-12-15,74
2012-12-16 - 2012-12-22,73
2012-12-23 - 2012-12-29,81
2012-12-30 - 2013-01-05,83
2013-01-06 - 2013-01-12,77
2013-01-13 - 2013-01-19,76
2013-01-20 - 2013-01-26,75
2013-01-27 - 2013-02-02,84
2013-02-03 - 2013-02-09,78
2013-02-10 - 2013-02-16,85
2013-02-17 - 2013-02-23,77
2013-02-24 - 2013-03-02,75
2013-03-03 - 2013-03-09,75
2013-03-10 - 2013-03-16,73
2013-03-17 - 2013-03-23,75
2013-03-24 - 2013-03-30,77
2013-03-31 - 2013-04-06,84
2013-04-07 - 2013-04-13,75
2013-04-14 - 2013-04-20,75
2013-04-21 - 2013-04-27,76
2013-04-28 - 2013-05-04,76
2013-05-05 - 2013-05-11,75
2013-05-12 - 2013-05-18,74
2013-05-19 - 2013-05-25,78
2013-05-26 - 2013-06-01,76
2013-06-02 - 2013-06-08,75
2013-06-09 - 2013-06-15,76
2013-06-16 - 2013-06-22,77
2013-06-23 - 2013-06-29,79
2013-06-30 - 2013-07-06,86
2013-07-07 - 2013-07-13,81
2013-07-14 - 2013-07-20,80
2013-07-21 - 2013-07-27,82
2013-07-28 - 2013-08-03,82
2013-08-04 - 2013-08-10,83
2013-08-11 - 2013-08-17,83
2013-08-18 - 2013-08-24,81
2013-08-25 - 2013-08-31,78
2013-09-01 - 2013-09-07,77
2013-09-08 - 2013-09-14,76
2013-09-15 - 2013-09-21,76
2013-09-22 - 2013-09-28,75
2013-09-29 - 2013-10-05,75
2013-10-06 - 2013-10-12,75
2013-10-13 - 2013-10-19,77
2013-10-20 - 2013-10-26,77
2013-10-27 - 2013-11-02,76
2013-11-03 - 2013-11-09,76
2013-11-10 - 2013-11-16,76
2013-11-17 - 2013-11-23,77
2013-11-24 - 2013-11-30,79
2013-12-01 - 2013-12-07,75
2013-12-08 - 2013-12-14,76
2013-12-15 - 2013-12-21,78
2013-12-22 - 2013-12-28,82
2013-12-29 - 2014-01-04,85
2014-01-05 - 2014-01-11,79
2014-01-12 - 2014-01-18,79
2014-01-19 - 2014-01-25,77
2014-01-26 - 2014-02-01,79
2014-02-02 - 2014-02-08,78
2014-02-09 - 2014-02-15,81
2014-02-16 - 2014-02-22,79
2014-02-23 - 2014-03-01,77
2014-03-02 - 2014-03-08,78
2014-03-09 - 2014-03-15,76
2014-03-16 - 2014-03-22,76
2014-03-23 - 2014-03-29,78
2014-03-30 - 2014-04-05,77
2014-04-06 - 2014-04-12,78
2014-04-13 - 2014-04-19,78
2014-04-20 - 2014-04-26,79
2014-04-27 - 2014-05-03,78
2014-05-04 - 2014-05-10,77
2014-05-11 - 2014-05-17,92
2014-05-18 - 2014-05-24,82
2014-05-25 - 2014-05-31,81
2014-06-01 - 2014-06-07,79
2014-06-08 - 2014-06-14,79
2014-06-15 - 2014-06-21,79
2014-06-22 - 2014-06-28,81
2014-06-29 - 2014-07-05,83
2014-07-06 - 2014-07-12,82
2014-07-13 - 2014-07-19,83
2014-07-20 - 2014-07-26,85
2014-07-27 - 2014-08-02,87
2014-08-03 - 2014-08-09,85
2014-08-10 - 2014-08-16,84
2014-08-17 - 2014-08-23,82
2014-08-24 - 2014-08-30,84
2014-08-31 - 2014-09-06,79
2014-09-07 - 2014-09-13,81
2014-09-14 - 2014-09-20,77
2014-09-21 - 2014-09-27,78
2014-09-28 - 2014-10-04,78
2014-10-05 - 2014-10-11,77
2014-10-12 - 2014-10-18,77
2014-10-19 - 2014-10-25,78
2014-10-26 - 2014-11-01,78
2014-11-02 - 2014-11-08,77
2014-11-09 - 2014-11-15,79
2014-11-16 - 2014-11-22,79
2014-11-23 - 2014-11-29,82
2014-11-30 - 2014-12-06,80
2014-12-07 - 2014-12-13,79
2014-12-14 - 2014-12-20,78
2014-12-21 - 2014-12-27,85
2014-12-28 - 2015-01-03,89
2015-01-04 - 2015-01-10,83
2015-01-11 - 2015-01-17,83
2015-01-18 - 2015-01-24,81
2015-01-25 - 2015-01-31,81
2015-02-01 - 2015-02-07,79
2015-02-08 - 2015-02-14,81
2015-02-15 - 2015-02-21,90
2015-02-22 - 2015-02-28,82
2015-03-01 - 2015-03-07,82
2015-03-08 - 2015-03-14,82
2015-03-15 - 2015-03-21,79
2015-03-22 - 2015-03-28,80
2015-03-29 - 2015-04-04,82
2015-04-05 - 2015-04-11,81
2015-04-12 - 2015-04-18,82
2015-04-19 - 2015-04-25,81
2015-04-26 - 2015-05-02,81
2015-05-03 - 2015-05-09,81
2015-05-10 - 2015-05-16,82
2015-05-17 - 2015-05-23,82
2015-05-24 - 2015-05-30,83
2015-05-31 - 2015-06-06,85
2015-06-07 - 2015-06-13,83
2015-06-14 - 2015-06-20,87
2015-06-21 - 2015-06-27,88
2015-06-28 - 2015-07-04,89
2015-07-05 - 2015-07-11,88
2015-07-12 - 2015-07-18,87
2015-07-19 - 2015-07-25,89
2015-07-26 - 2015-08-01,88
2015-08-02 - 2015-08-08,89
2015-08-09 - 2015-08-15,89
2015-08-16 - 2015-08-22,88
2015-08-23 - 2015-08-29,91
2015-08-30 - 2015-09-05,85
2015-09-06 - 2015-09-12,86
2015-09-13 - 2015-09-19,85
2015-09-20 - 2015-09-26,83
2015-09-27 - 2015-10-03,82
2015-10-04 - 2015-10-10,85
2015-10-11 - 2015-10-17,83
2015-10-18 - 2015-10-24,84
2015-10-25 - 2015-10-31,85
2015-11-01 - 2015-11-07,84
2015-11-08 - 2015-11-14,83
2015-11-15 - 2015-11-21,84
2015-11-22 - 2015-11-28,89
2015-11-29 - 2015-12-05,85
2015-12-06 - 2015-12-12,86


Top regions for dog
Region,dog
United States,100
Australia,83
United Kingdom,77
Canada,73
New Zealand,69
Ireland,67
South Africa,50
Pakistan,48
Philippines,48
Singapore,39
India,36
Malaysia,23
United Arab Emirates,22
Norway,21
Hong Kong,20
Greece,19
Sweden,19
Hungary,16
Croatia,16
Serbia,16
Finland,15
Denmark,15
Czech Republic,13
Romania,13
Netherlands,13
Thailand,12
Israel,12
Indonesia,12
Belgium,11
Portugal,11
Switzerland,11
Egypt,11
South Korea,10
Italy,10
Germany,9
Mexico,9
Austria,9
Poland,9
Brazil,9
Vietnam,8
Chile,8
France,8
Spain,7
Argentina,5
Colombia,5
Turkey,5
Russia,4
Japan,3
China,3


Top cities for dog
City,dog
Denver (United States),100
Austin (United States),93
Portland (United States),93
Seattle (United States),89
Phoenix (United States),87
Brisbane (Australia),87
San Diego (United States),85
Dallas (United States),83
Los Angeles (United States),82
Chicago (United States),82
San Francisco (United States),81
Atlanta (United States),80
Philadelphia (United States),79
Melbourne (Australia),78
Houston (United States),78



Top searches for dog
the dog,100
dogs,60
dog food,35
hot dog,30
dog breeds,20
cat,20
dog names,20
dog training,15
dog rescue,15
black dog,15
big dog,15
dog house,10
dog grooming,10
red dog,10
dog pictures,10
dog games,10
snoop dog,10
bull dog,10
dog videos,5
dog days,5
dog kennels,5
dog barking,5
funny dog,5
watch dog,5
pitbull,5
pitbull dog,5
dog pound,5
dog tags,5
dog collars,5
boxer dog,5
cute dog,5
hound dog,5
petsmart,5
bernese mountain dog,5
cartoon dog,5
dog crate,5
husky dog,5
dog beds,5
dog whisperer,5
dog images,5
alpha dog,5
7 dog,5
wolf dog,5
best dog food,5
dog years,5
biggest dog,5
pug dog,5
petco,5
female dog names,5
dog quotes,5



Rising searches for dog
dog days,+300%
dog videos,+170%
pitbull,+110%
pitbull dog,+110%
cute dog,+100%
watch dog,+100%
dog games,+90%
hot dog,+60%
dog food,+40%
dog grooming,+40%



